entidadFederativa,grupoQuincenalEdad,total,Hombres,Mujeres,Anio
Estados Unidos Mexicanos,0 a 4 años,10195178,5160002,5035176,1990
Estados Unidos Mexicanos,5 a 9 años,10562234,5338285,5223949,1990
Estados Unidos Mexicanos,10 a 14 años,10389092,5230658,5158434,1990
Estados Unidos Mexicanos,15 a 19 años,9664403,4759892,4904511,1990
Estados Unidos Mexicanos,20 a 24 años,7829163,3738128,4091035,1990
Estados Unidos Mexicanos,25 a 29 años,6404512,3050595,3353917,1990
Estados Unidos Mexicanos,30 a 34 años,5387619,2578736,2808883,1990
Estados Unidos Mexicanos,35 a 39 años,4579116,2210565,2368551,1990
Estados Unidos Mexicanos,40 a 44 años,3497770,1705013,1792757,1990
Estados Unidos Mexicanos,45 a 49 años,2971860,1452573,1519287,1990
Estados Unidos Mexicanos,50 a 54 años,2393791,1161875,1231916,1990
Estados Unidos Mexicanos,55 a 59 años,1894484,918864,975620,1990
Estados Unidos Mexicanos,60 a 64 años,1611317,769917,841400,1990
Estados Unidos Mexicanos,65 a 69 años,1183651,567641,616010,1990
Estados Unidos Mexicanos,70 a 74 años,827027,394031,432996,1990
Estados Unidos Mexicanos,75 a 79 años,590836,277835,313001,1990
Estados Unidos Mexicanos,80 a 84 años,401832,179820,222012,1990
Estados Unidos Mexicanos,85 a 89 años,225450,99299,126151,1990
Estados Unidos Mexicanos,90 a 94 años,91189,38021,53168,1990
Estados Unidos Mexicanos,95 a 99 años,37689,15069,22620,1990
Estados Unidos Mexicanos,100 años y más,19167,7092,12075,1990
Estados Unidos Mexicanos,No especificado,492265,240058,252207,1990
Aguascalientes,0 a 4 años,98013,49576,48437,1990
Aguascalientes,5 a 9 años,98158,49742,48416,1990
Aguascalientes,10 a 14 años,94971,47751,47220,1990
Aguascalientes,15 a 19 años,87750,42735,45015,1990
Aguascalientes,20 a 24 años,69577,32248,37329,1990
Aguascalientes,25 a 29 años,55660,26182,29478,1990
Aguascalientes,30 a 34 años,46833,21920,24913,1990
Aguascalientes,35 a 39 años,38127,18255,19872,1990
Aguascalientes,40 a 44 años,29392,13962,15430,1990
Aguascalientes,45 a 49 años,23788,11650,12138,1990
Aguascalientes,50 a 54 años,18093,8523,9570,1990
Aguascalientes,55 a 59 años,14905,7045,7860,1990
Aguascalientes,60 a 64 años,13035,6059,6976,1990
Aguascalientes,65 a 69 años,10091,4755,5336,1990
Aguascalientes,70 a 74 años,6731,3191,3540,1990
Aguascalientes,75 a 79 años,5378,2540,2838,1990
Aguascalientes,80 a 84 años,3661,1622,2039,1990
Aguascalientes,85 a 89 años,2221,978,1243,1990
Aguascalientes,90 a 94 años,715,295,420,1990
Aguascalientes,95 a 99 años,237,81,156,1990
Aguascalientes,100 años y más,78,24,54,1990
Aguascalientes,No especificado,2245,1084,1161,1990
Baja California,0 a 4 años,202831,102769,100062,1990
Baja California,5 a 9 años,185303,94240,91063,1990
Baja California,10 a 14 años,180428,90526,89902,1990
Baja California,15 a 19 años,202116,102807,99309,1990
Baja California,20 a 24 años,184182,92536,91646,1990
Baja California,25 a 29 años,151366,75448,75918,1990
Baja California,30 a 34 años,122683,60562,62121,1990
Baja California,35 a 39 años,97317,48138,49179,1990
Baja California,40 a 44 años,71766,35438,36328,1990
Baja California,45 a 49 años,58601,29052,29549,1990
Baja California,50 a 54 años,47458,23536,23922,1990
Baja California,55 a 59 años,37179,18425,18754,1990
Baja California,60 a 64 años,30769,15152,15617,1990
Baja California,65 a 69 años,22752,11514,11238,1990
Baja California,70 a 74 años,14420,7171,7249,1990
Baja California,75 a 79 años,9438,4417,5021,1990
Baja California,80 a 84 años,5456,2350,3106,1990
Baja California,85 a 89 años,2939,1224,1715,1990
Baja California,90 a 94 años,1027,419,608,1990
Baja California,95 a 99 años,412,158,254,1990
Baja California,100 años y más,189,77,112,1990
Baja California,No especificado,32223,16131,16092,1990
Baja California Sur,0 a 4 años,38275,19453,18822,1990
Baja California Sur,5 a 9 años,38661,19802,18859,1990
Baja California Sur,10 a 14 años,38849,19717,19132,1990
Baja California Sur,15 a 19 años,37202,19008,18194,1990
Baja California Sur,20 a 24 años,32187,16219,15968,1990
Baja California Sur,25 a 29 años,28300,14015,14285,1990
Baja California Sur,30 a 34 años,24249,12152,12097,1990
Baja California Sur,35 a 39 años,19309,10012,9297,1990
Baja California Sur,40 a 44 años,14151,7344,6807,1990
Baja California Sur,45 a 49 años,11427,6016,5411,1990
Baja California Sur,50 a 54 años,8654,4570,4084,1990
Baja California Sur,55 a 59 años,6897,3680,3217,1990
